INFO 2025-12-26 16:51:23,405 allocation_calculations 149 8348000384 calculate_allocations: processing 1 holdings
INFO 2025-12-26 16:51:23,515 allocation_calculations 149 8348000384 calculate_allocations: processing 2 holdings
WARNING 2025-12-26 16:51:23,625 signals 149 8348000384 Strategy 'Taxable Strategy' has invalid allocations: Total allocation is 30.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,625 signals 149 8348000384 Strategy 'Taxable Strategy' has invalid allocations: Total allocation is 55.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,625 signals 149 8348000384 Strategy 'Taxable Strategy' has invalid allocations: Total allocation is 65.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,625 signals 149 8348000384 Strategy 'Taxable Strategy' has invalid allocations: Total allocation is 75.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,626 signals 149 8348000384 Strategy 'Taxable Strategy' has invalid allocations: Total allocation is 80.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,626 signals 149 8348000384 Strategy 'Tax Deferred Strategy' has invalid allocations: Total allocation is 25.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,627 signals 149 8348000384 Strategy 'Tax Deferred Strategy' has invalid allocations: Total allocation is 55.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,627 signals 149 8348000384 Strategy 'Tax Deferred Strategy' has invalid allocations: Total allocation is 65.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,627 signals 149 8348000384 Strategy 'Tax Deferred Strategy' has invalid allocations: Total allocation is 95.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,737 signals 149 8348000384 Strategy 'Taxable Strategy' has invalid allocations: Total allocation is 30.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,737 signals 149 8348000384 Strategy 'Taxable Strategy' has invalid allocations: Total allocation is 55.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,737 signals 149 8348000384 Strategy 'Taxable Strategy' has invalid allocations: Total allocation is 65.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,737 signals 149 8348000384 Strategy 'Taxable Strategy' has invalid allocations: Total allocation is 75.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,738 signals 149 8348000384 Strategy 'Taxable Strategy' has invalid allocations: Total allocation is 80.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,738 signals 149 8348000384 Strategy 'Tax Deferred Strategy' has invalid allocations: Total allocation is 25.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,739 signals 149 8348000384 Strategy 'Tax Deferred Strategy' has invalid allocations: Total allocation is 55.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,739 signals 149 8348000384 Strategy 'Tax Deferred Strategy' has invalid allocations: Total allocation is 65.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,739 signals 149 8348000384 Strategy 'Tax Deferred Strategy' has invalid allocations: Total allocation is 95.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,850 signals 149 8348000384 Strategy 'Taxable Strategy' has invalid allocations: Total allocation is 30.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,851 signals 149 8348000384 Strategy 'Taxable Strategy' has invalid allocations: Total allocation is 55.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,851 signals 149 8348000384 Strategy 'Taxable Strategy' has invalid allocations: Total allocation is 65.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,852 signals 149 8348000384 Strategy 'Taxable Strategy' has invalid allocations: Total allocation is 75.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,853 signals 149 8348000384 Strategy 'Taxable Strategy' has invalid allocations: Total allocation is 80.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,853 signals 149 8348000384 Strategy 'Tax Deferred Strategy' has invalid allocations: Total allocation is 25.00%, must equal 100.00% (±0.001%)
WARNING 2025-12-26 16:51:23,854 signals 149 8348000384 Strategy 'Tax Deferred Strategy' has invalid allocations: Total allocation is 55.00%, must equal 100.00% (±0.001%)
